thread,path,calls,total_s,avg_s,tpe_s
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_mesh_statements/taichi::lang::irpass::type_check",1,1.2e-05,1.2e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::remove_range_assumption",1,4e-06,4e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::remove_loop_unique",1,4e-06,4e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify",2,0.001787,0.0008935,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::extract_constant",5,4e-05,7.99999e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::unreachable_code_elimination",5,1.3e-05,2.59999e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::binary_op_simplify",5,4.4e-05,8.8e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::binary_op_simplify/taichi::lang::irpass::replace_all_usages_with",1,1.99999e-06,1.99999e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::constant_fold",5,7.9e-05,1.58e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::constant_fold/taichi::lang::irpass::replace_all_usages_with",8,1e-05,1.25e-06,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::die",15,0.000515,3.43333e-05,0
"17248","[Profiler thread 17248]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify/taichi::lang::irpass::alg_simp",5,0.000131,2.62e-05,0
